plant_id,scientific_name,synonym_scientific_name,common_name,family,light_requirement_level,min_lux,max_lux,watering_frequency_days,min_temp_celsius,max_temp_celsius,ideal_humidity_percent,is_toxic_to_dogs,is_toxic_to_cats,toxicity_symptoms,toxicity_status,care_confidence,vernacular_names_en,native_range,image_url,image_license,image_commercial_safe,gbif_usage_key,gbif_source_url,dataset_version
1,Monstera deliciosa,,Swiss Cheese Plant,Araceae,Medium to Bright,1500,5000,7,18,30,60,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.",aspca_verified,high,Ceriman,Caribbean; East Africa; Galápagos Islands; INTRODUCED; Middle America; North America,https://inaturalist-open-data.s3.amazonaws.com/photos/605494677/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868241,https://www.gbif.org/species/2868241,2026.07
2,Epipremnum aureum,,Golden Pothos,Araceae,Medium to Low,500,3000,7,15,30,50,1,1,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,Devil's Ivy,East Africa; INTRODUCED,https://inaturalist-open-data.s3.amazonaws.com/photos/604831750/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868323,https://www.gbif.org/species/2868323,2026.07
3,Philodendron hederaceum,,Heartleaf Philodendron,Araceae,Medium to Low,500,3000,7,16,28,50,1,1,"Oral irritation, burning of mouth and lips, drooling, vomiting.",aspca_verified,high,Vilevine,"Antioquia, Atlántico, Bolívar, Boyacá, Caldas, Casanare, Chocó, Cundinamarca, La Guajira, Magdalena, Meta, Nariño, Norte",https://inaturalist-open-data.s3.amazonaws.com/photos/605640348/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2871003,https://www.gbif.org/species/2871003,2026.07
4,Spathiphyllum wallisii,,Peace Lily,Araceae,Medium to Low,500,1500,7,15,30,50,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,Peace Lily,Galápagos Islands,https://inaturalist-open-data.s3.amazonaws.com/photos/611754736/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2869680,https://www.gbif.org/species/2869680,2026.07
5,Anthurium andraeanum,,Flamingo Lily,Araceae,Medium to Bright,1500,4000,7,18,30,70,1,1,"Oral irritation, blistering of mouth and tongue, drooling, vomiting.",aspca_verified,high,Flamingo-Lily,"Armenia | Barrancabermeja | Montería | Villavicencio | Manizales | Pasto; Colombia; Colombia, Nariño, Ricaurte, Resguard",https://inaturalist-open-data.s3.amazonaws.com/photos/605732736/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2872695,https://www.gbif.org/species/2872695,2026.07
6,Zamioculcas zamiifolia,,ZZ Plant,Araceae,Low,250,2000,14,15,30,40,1,1,"Mild to moderate oral irritation, excessive drooling, vomiting.",aspca_verified,high,ZZ Plant,Kenya; KwaZulu-Natal; Malawi; Mozambique,https://inaturalist-open-data.s3.amazonaws.com/photos/613586648/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2869014,https://www.gbif.org/species/2869014,2026.07
7,Aglaonema commutatum,,Chinese Evergreen,Araceae,Medium to Low,500,2500,10,16,28,50,1,1,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,Chinese evergreen,Caribbean; East Africa; Galápagos Islands; INTRODUCED; North America; Oceania; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/609503106/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2866467,https://www.gbif.org/species/2866467,2026.07
8,Syngonium podophyllum,,Arrowhead Vine,Araceae,Medium to Bright,1000,3500,7,16,28,60,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,African evergreen,"Amazonas, Antioquia, Boyacá, Caldas, Caquetá, Cauca, Chocó, Cundinamarca, Huila, Magdalena, Meta, Nariño, Putumayo, Quin",https://inaturalist-open-data.s3.amazonaws.com/photos/604613846/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2867866,https://www.gbif.org/species/2867866,2026.07
10,Dieffenbachia seguine,,Dumb Cane,Araceae,Medium,1000,3000,7,16,28,60,1,1,"Severe oral irritation, intense burning and swelling of mouth and tongue, excessive drooling, respiratory compromise.",aspca_verified,high,Dumb-cane,Caribbean; Galápagos Islands; Oceania; South America,https://inaturalist-open-data.s3.amazonaws.com/photos/606335823/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2869345,https://www.gbif.org/species/2869345,2026.07
11,Dracaena trifasciata,Sansevieria trifasciata,Snake Plant,Asparagaceae,Low to Bright,250,5000,14,10,35,30,1,1,"Nausea, vomiting, diarrhea, excessive drooling.",aspca_verified,high,"Snake plant, Mother-in-law's tongue, Viper's bowstring hemp, Snake Sansevieria, Bowstring hemp, Good luck plant, Mother-in-law's nose",Africa; Australia; Caribbean; INTRODUCED; Middle America; North America; Oceania; South America; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/604529562/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/,1,11041822,https://www.gbif.org/species/11041822,2026.07
12,Chlorophytum comosum,,Spider Plant,Asparagaceae,Medium to Bright,1000,4000,7,10,30,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Bracket plant,East Africa; Galápagos Islands; INTRODUCED; North America; Tristan da Cunha,https://inaturalist-open-data.s3.amazonaws.com/photos/607547399/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2774846,https://www.gbif.org/species/2774846,2026.07
14,Dracaena fragrans,,Corn Plant,Asparagaceae,Medium,800,3000,10,15,30,40,1,1,"Vomiting, depression, anorexia, hypersalivation.",aspca_verified,high,Dracaena 'Janet Craig Compact',Caribbean; Galápagos Islands; INTRODUCED,https://inaturalist-open-data.s3.amazonaws.com/photos/606113429/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5304583,https://www.gbif.org/species/5304583,2026.07
15,Yucca gigantea,Yucca elephantipes,Spineless Yucca,Asparagaceae,Bright Indirect,2000,6000,14,10,35,30,1,1,"Vomiting, diarrhea, depression, drooling, weakness.",aspca_verified,high,Spineless Yucca,Caribbean; Galápagos Islands; INTRODUCED,https://inaturalist-open-data.s3.amazonaws.com/photos/605089699/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2775716,https://www.gbif.org/species/2775716,2026.07
16,Beaucarnea recurvata,,Ponytail Palm,Asparagaceae,Bright Indirect,2000,6000,14,10,35,30,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Elephant's-foot,Global; Jardín Botánico de Bogotá; Mexico Gulf; Mexico Northeast; Mexico Southwest; Middle America; Área urbana de Bogot,https://inaturalist-open-data.s3.amazonaws.com/photos/609062240/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2768035,https://www.gbif.org/species/2768035,2026.07
17,Asparagus setaceus,,Asparagus Fern,Asparagaceae,Medium to Bright,1000,3500,5,10,28,60,1,1,"Allergic dermatitis with repeated contact; berry ingestion causes vomiting, diarrhea, abdominal pain.",aspca_verified,high,= Asparagus setaceus (Kunth) Jessop,Africa; Australia; Caribbean; East Africa; Europe & Northern Asia (excluding China); Galápagos Islands; INTRODUCED; Midd,https://inaturalist-open-data.s3.amazonaws.com/photos/604980978/original.jpg,http://creativecommons.org/licenses/by/4.0/,1,2768686,https://www.gbif.org/species/2768686,2026.07
18,Ficus lyrata,,Fiddle Leaf Fig,Moraceae,Bright Indirect,2500,6000,7,15,30,60,1,1,"Oral irritation, excessive drooling, vomiting, dermal irritation from milky sap.",aspca_verified,high,Fiddle-leaf Fig,Armenia | Montería; Benin; Cameroon; Canary Is.; Canary Isl. [I] (Tenerife [I]); Guinea-Bissau; Guinea; Sierra Leone; Li,https://inaturalist-open-data.s3.amazonaws.com/photos/611639718/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5361899,https://www.gbif.org/species/5361899,2026.07
19,Ficus elastica,,Rubber Tree,Moraceae,Medium to Bright,1500,5000,7,15,30,50,1,1,"Oral irritation, excessive drooling, vomiting, skin and eye irritation.",aspca_verified,high,India Rubber Tree,"AI; Buenavista; Circasia; Cultivada en los trópicos; Departamento de Quindío, municipio de Córdoba; Departamento del Qui",https://inaturalist-open-data.s3.amazonaws.com/photos/605480894/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7835333,https://www.gbif.org/species/7835333,2026.07
20,Ficus benjamina,,Weeping Fig,Moraceae,Bright Indirect,2000,5500,7,16,30,50,1,1,"Oral irritation, excessive drooling, vomiting.",aspca_verified,high,Ficus,"Benin [I]; China (Guangdong, Guangxi, Guizhou, Hainan, Yunnan); Bhutan; India (throughout); Sri Lanka; Bangladesh; Andam",https://inaturalist-open-data.s3.amazonaws.com/photos/605714058/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5361932,https://www.gbif.org/species/5361932,2026.07
21,Ficus pumila,,Creeping Fig,Moraceae,Medium to Bright,1500,4500,5,15,28,65,1,1,"Oral irritation, salivation, vomiting, dermal irritation.",aspca_verified,high,Climbing fig,Bogotá; Caribbean; Cultivada en los trópicos; East Africa; Galápagos Islands; Manizales | Pasto; Morocco [c]; Algeria [c,https://inaturalist-open-data.s3.amazonaws.com/photos/605313744/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5361930,https://www.gbif.org/species/5361930,2026.07
22,Schlumbergera truncata,,Christmas Cactus,Cactaceae,Bright Indirect,1500,4000,10,15,28,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,False Christmas Cactus,BR; Brazil Southeast; Galápagos Islands; Global; Manizales; Mozambique [I]; Java [I]; SE-Brazil (Rio de Janeiro); Vietna,https://inaturalist-open-data.s3.amazonaws.com/photos/658908935/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5383983,https://www.gbif.org/species/5383983,2026.07
23,Opuntia microdasys,,Bunny Ears Cactus,Cactaceae,Direct Sun,5000,15000,21,10,38,20,0,0,"Chemically non-toxic, but glochids (micro-spines) cause severe mechanical skin and oral irritation.",aspca_verified,high,Angel's-wings,Algeria; Arizona; Galápagos Islands; Greece [I]; South Africa [I]; Northern Caucasus [I]; Georgia [Caucasus] [I]; India ,https://inaturalist-open-data.s3.amazonaws.com/photos/605491279/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7283961,https://www.gbif.org/species/7283961,2026.07
24,Kroenleinia grusonii,Echinocactus grusonii,Golden Barrel Cactus,Cactaceae,Direct Sun,6000,18000,21,10,40,20,0,0,"Chemically non-toxic, but spines cause mechanical injury.",aspca_verified,high,barrel cactus,BR; Mexico (Querétaro); Mexico Northeast,https://inaturalist-open-data.s3.amazonaws.com/photos/682813170/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,10911827,https://www.gbif.org/species/10911827,2026.07
25,Mammillaria hahniana,,Old Lady Cactus,Cactaceae,Direct Sun,5000,15000,21,10,35,20,0,0,"Chemically non-toxic, mechanical irritation from spines.",aspca_verified,high,old woman cactus,BR; Global; Mexico Northeast; Mexico Southwest; TW,https://inaturalist-open-data.s3.amazonaws.com/photos/672204698/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7280027,https://www.gbif.org/species/7280027,2026.07
26,Crassula ovata,,Jade Plant,Crassulaceae,Bright Indirect,2500,8000,14,10,30,30,1,1,"Vomiting, depression, ataxia (wobbliness), slow heart rate.",aspca_verified,high,Jade plant,"California; Canary Is.; Cape Provinces; East Africa; Galápagos Islands; Italy [I]; Canary Isl. [I] (La Palma [I], La Gom",https://inaturalist-open-data.s3.amazonaws.com/photos/605200286/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5362063,https://www.gbif.org/species/5362063,2026.07
27,Echeveria elegans,,Mexican Snowball,Crassulaceae,Bright Indirect,3000,10000,14,10,32,30,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Mexican snowball,"BR; IN; Mexico Gulf; Mexico Northeast; Mexico Southwest; Slovakia [I]; Mexico (Chihuahua, Coahuila, Hidalgo, Jalisco, Nu",https://inaturalist-open-data.s3.amazonaws.com/photos/613510512/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,8315197,https://www.gbif.org/species/8315197,2026.07
28,Sedum morganianum,,Burro's Tail,Crassulaceae,Bright Indirect,2500,8000,14,10,30,30,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Donkeytail,"BR; Boyacá, Caldas, Quindío, Risaralda, Valle; Dominican Republic; INTRODUCED; Manizales; Mexico Central; Mexico Gulf; M",https://inaturalist-open-data.s3.amazonaws.com/photos/657232888/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5690408,https://www.gbif.org/species/5690408,2026.07
29,Kalanchoe tomentosa,,Panda Plant,Crassulaceae,Bright Indirect,2500,8000,14,12,30,30,1,1,"Vomiting, diarrhea, abnormal heart rhythm (cardiac glycosides), weakness.",aspca_verified,high,Panda Plant,BR; C-Madagascar; Dominican Republic [I]; Haiti [I]; Global; Madagascar; TW,https://inaturalist-open-data.s3.amazonaws.com/photos/615683589/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,4198346,https://www.gbif.org/species/4198346,2026.07
30,Maranta leuconeura,,Prayer Plant,Marantaceae,Medium to Bright,1000,3500,5,18,28,70,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,prayerplant,Brazil Northeast; Brazil Southeast; Brazil West-Central; East Africa; Manizales,https://inaturalist-open-data.s3.amazonaws.com/photos/629101118/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2761337,https://www.gbif.org/species/2761337,2026.07
32,Goeppertia insignis,,Rattlesnake Plant,Marantaceae,Medium to Bright,1000,3000,5,18,28,70,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Rattlesnake-plant,BR; Brazil Southeast,https://inaturalist-open-data.s3.amazonaws.com/photos/664072566/original.jpg,http://creativecommons.org/licenses/by/4.0/,1,11035519,https://www.gbif.org/species/11035519,2026.07
33,Peperomia obtusifolia,,Baby Rubber Plant,Piperaceae,Medium to Bright,1000,4000,10,15,28,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,American rubberplant,Armenia; Bahamas; Belize; Benin [I]; Cameroon [I]; Taiwan [I]; Rotuma Isl. [I]; Cook Isl. [I] (Rarotonga [I]); Society I,https://inaturalist-open-data.s3.amazonaws.com/photos/608460572/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3086423,https://www.gbif.org/species/3086423,2026.07
34,Peperomia argyreia,,Watermelon Peperomia,Piperaceae,Medium to Bright,1000,3500,7,15,28,55,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,watermelon pepper,"BR; Caquetá | Antioquia | Tolima | Santander; Cuenca río Prado: Veredas Alto Torres, La Virginia y Las Catorce, Cunday; ",https://cdn.floridamuseum.ufl.edu/Herbarium/4f6046ea-bd7a-48f0-afc4-b8cf9e9d1c10,http://creativecommons.org/licenses/by-nc/4.0/,0,4189296,https://www.gbif.org/species/4189296,2026.07
35,Streptocarpus ionanthus,Saintpaulia ionantha,African Violet,Gesneriaceae,Medium to Bright,1000,3500,7,18,26,60,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,African Violet,"Chagos Archipelago; Diego Garcia, Main; Kenya; Tanzania; Trinidad-Tobago",https://inaturalist-open-data.s3.amazonaws.com/photos/613179630/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,6710927,https://www.gbif.org/species/6710927,2026.07
36,Aeschynanthus radicans,,Lipstick Plant,Gesneriaceae,Bright Indirect,1500,4000,7,18,28,60,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,lipstickplant,Borneo; Malaya; Mauritius [I]; Thailand; peninsular Malaysia (widespread); +Singapore; Sumatra (incl. Mentawai Isl.: Sib,https://bs.plantnet.org/image/o/2fe1d8a96fad0459f17b368fa3be772be1d22d74,Gian Andrea Pagnoni (cc-by-sa),0,3824774,https://www.gbif.org/species/3824774,2026.07
37,Guzmania lingulata,,Scarlet Star Bromeliad,Bromeliaceae,Bright Indirect,1500,4500,7,16,30,60,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Droophead Tufted Airplant,Caribbean; Middle America; South America,https://inaturalist-open-data.s3.amazonaws.com/photos/605359831/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2699095,https://www.gbif.org/species/2699095,2026.07
38,Wallisia cyanea,,Pink Quill,Bromeliaceae,Bright Indirect,1500,4000,7,15,30,60,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Blue Torch,Ecuador; Peru,https://inaturalist-open-data.s3.amazonaws.com/photos/610292207/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,9556126,https://www.gbif.org/species/9556126,2026.07
40,Ludisia discolor,,Jewel Orchid,Orchidaceae,Medium to Low,500,2000,5,18,28,70,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,jewel orchid,,https://inaturalist-open-data.s3.amazonaws.com/photos/628012923/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,8002439,https://www.gbif.org/species/8002439,2026.07
41,Nephrolepis exaltata,,Boston Fern,Nephrolepidaceae,Medium to Bright,1000,3500,4,15,28,75,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Boston Swordfern,Algeria; Armenia | Montería | Yopal | Manizales | Pasto; Caribbean; Galápagos Islands; INTRODUCED; North America; Oceani,https://inaturalist-open-data.s3.amazonaws.com/photos/606089924/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2650927,https://www.gbif.org/species/2650927,2026.07
42,Platycerium bifurcatum,,Staghorn Fern,Polypodiaceae,Bright Indirect,1500,4500,7,15,30,70,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Elkhorn Fern,Bogotá; Canary Is.; Canary Isl. [I] (La Palma Isl. [I]); South Africa [I] (KwaZulu-Natal [I]); Ascension Isl. [I]; Austr,https://inaturalist-open-data.s3.amazonaws.com/photos/604976366/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7126767,https://www.gbif.org/species/7126767,2026.07
43,Phlebodium aureum,,Blue Star Fern,Polypodiaceae,Medium to Bright,1000,3500,5,15,28,70,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Gold-foot Fern,"Barrancabermeja | Manizales; Canary Isl. [I] (La Palma Isl. [I], Tenerife [I]); Zimbabwe [I]; South Africa [I] (KwaZulu-",https://inaturalist-open-data.s3.amazonaws.com/photos/605714609/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2650479,https://www.gbif.org/species/2650479,2026.07
44,Chamaedorea elegans,,Parlor Palm,Arecaceae,Medium to Low,500,2500,7,15,28,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Neanthe bella palm,INTRODUCED; Middle America,https://inaturalist-open-data.s3.amazonaws.com/photos/616161780/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2734661,https://www.gbif.org/species/2734661,2026.07
45,Dypsis lutescens,,Areca Palm,Arecaceae,Bright Indirect,2000,6000,7,16,30,60,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Areca palm,Africa; Armenia | Montería | Yopal | Manizales; Bogotá; Bucaramanga; Caribbean; Galápagos Islands; Global; INTRODUCED; J,https://inaturalist-open-data.s3.amazonaws.com/photos/604561548/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/,1,2735935,https://www.gbif.org/species/2735935,2026.07
46,Ravenea rivularis,,Majesty Palm,Arecaceae,Bright Indirect,2500,6500,5,16,30,65,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Majestic Palm,Africa; BR; Global; Madagascar; TW,https://inaturalist-open-data.s3.amazonaws.com/photos/628078973/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2739031,https://www.gbif.org/species/2739031,2026.07
47,Begonia maculata,,Polka Dot Begonia,Begoniaceae,Bright Indirect,1500,4000,5,16,28,65,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting, kidney failure in severe cases (soluble calcium oxalates).",aspca_verified,high,Cane Begonia,Argentina Northeast; BR; Brazil Southeast; Cuba; Dominican Republic; INTRODUCED; Mexico Gulf; Mexico Northeast; Mexico S,https://inaturalist-open-data.s3.amazonaws.com/photos/607963509/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,7303475,https://www.gbif.org/species/7303475,2026.07
48,Begonia rex-cultorum,,Rex Begonia,Begoniaceae,Medium to Bright,1000,3500,7,16,26,60,1,1,"Oral irritation, intense burning and swelling of mouth and tongue, excessive drooling, vomiting.",aspca_verified,high,beefsteak-geranium,,https://inaturalist-open-data.s3.amazonaws.com/photos/465769018/original.jpeg,http://creativecommons.org/licenses/by-nc/4.0/,0,4930983,https://www.gbif.org/species/4930983,2026.07
49,Pilea peperomioides,,Chinese Money Plant,Urticaceae,Bright Indirect,1500,4500,7,13,30,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Chinese money plant,"BR; Belgium; Belgium [I]; China (SW-Sichuan, W-Yunnan); India [c]; China South-Central; Flemish Region",https://bs.plantnet.org/image/o/fe798e9da8fec7086ea36d72a7568bf463c9dc53,Cristina (cc-by-sa),0,5669632,https://www.gbif.org/species/5669632,2026.07
50,Pilea involucrata,,Friendship Plant,Urticaceae,Medium to Bright,1000,3500,5,16,28,65,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Clearweed,"Alabama; Andaman Is.; Angola; Argentina Northeast; Cerro Mecana, municipio Bahía Solano, Chocó; Departamento del Putumay",https://inaturalist-open-data.s3.amazonaws.com/photos/605027934/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2984417,https://www.gbif.org/species/2984417,2026.07
51,Euphorbia trigona,,African Milk Tree,Euphorbiaceae,Bright Indirect,3000,10000,14,15,32,30,1,1,"Severe skin and eye irritation from milky latex sap; ingestion causes oral irritation, vomiting, and diarrhea.",aspca_verified,high,African milktree,Africa; Angola; Bangladesh; Congo; DR Congo; Gabon; INTRODUCED; India; Malawi; Myanmar,https://inaturalist-open-data.s3.amazonaws.com/photos/615572683/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3067098,https://www.gbif.org/species/3067098,2026.07
52,Codiaeum variegatum,,Croton,Euphorbiaceae,Bright Indirect,2500,8000,7,16,30,60,1,1,"Oral irritation, excessive drooling, vomiting, diarrhea, skin eczema.",aspca_verified,high,Garden Croton,Andaman Is.; Armenia | Barrancabermeja | Yopal | Villavicencio | Manizales; Bangladesh; Bismarck Archipelago; Bogotá; Bo,https://inaturalist-open-data.s3.amazonaws.com/photos/604986001/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,3071476,https://www.gbif.org/species/3071476,2026.07
53,Plectranthus verticillatus,,Swedish Ivy,Lamiaceae,Bright Indirect,1500,4500,7,15,28,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Gossip Spurflower,"Africa; Caribbean; Galápagos Islands; INTRODUCED; Middle America; Mozambique; South Africa (Limpopo, Gauteng, Mpulamanga",https://inaturalist-open-data.s3.amazonaws.com/photos/606313393/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2926638,https://www.gbif.org/species/2926638,2026.07
54,Coleus scutellarioides,,Coleus,Lamiaceae,Bright Indirect,2000,6000,5,15,30,55,1,1,"Vomiting, diarrhea, depression, anorexia, bloody diarrhea (essential oils).",aspca_verified,high,Coleus,Australia; Bangladesh; Belize; Bismarck Archipelago; Bogotá; Caribbean; Germany [I]; Guinea [I]; Benin [I]; Cameroon [I],https://inaturalist-open-data.s3.amazonaws.com/photos/604800589/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,5341492,https://www.gbif.org/species/5341492,2026.07
55,Hoya carnosa,,Wax Plant,Apocynaceae,Bright Indirect,2000,6000,10,15,30,50,0,0,Non-toxic. Safe for dogs and cats.,aspca_verified,high,Common Wax-plant,Bangladesh; China South-Central; China Southeast; East Himalaya; Fiji; Galápagos Islands; Hainan; Japan; Villavicencio |,https://inaturalist-open-data.s3.amazonaws.com/photos/605045860/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,8658195,https://www.gbif.org/species/8658195,2026.07
